Nombre,Segundo Nombre,Apellido Paterno,Apellido Materno,Estado,Municipio,Colonia,Calle,Numero Ext.,Numero Int.,Codigo Postal,CURP,Clave Elector,Fecha de Nacimiento,Seccion,Vigencia Ano Inicio,Vigencia Ano Final,Ano Registro,Mes Registro
SESSA,,CORDOVA,SALAS,BC,SAN BIANCA LOS BAJOS,LOS BAJOS SUR,CIRCUNVALACION SUR PERALES KM,83.8,,55617,CSVC364335MFTITAZ9,LARWYV54529015Z3W3,05/03/1970,5696,2021,2031,2008,11
LILIANA,,ALARCON,CEDILLO,QRO,SAN SAMUEL LOS ALTOS,DE LA MONTANA NORTE,DIAGONAL NORTE BUENO,4585,DEPTO B,34054,EUHE540986MQVTNNT4,PEMRYC02173575YRUT,19/02/1983,5950,2026,2036,2019,12
KARLA,,DAVILA,BORREGO,AGS,VIEJA MOZAMBIQUE,LOS ALTOS NORTE,VIADUCTO REPUBLICA DE COREA,2249-35,,56658,OJGS395650MFADSQX6,YFBDKY96244305J4OC,21/04/2006,4109,2023,2033,2006,02
MARISELA,,MARIN,VIERA,SIN,SAN MARIANO DE LA MONTANA,LOS ALTOS SUR,CALZADA PERU KM,7.4,,21269,ZSTD946117MCPTGBH7,RYRDEV16469517F76P,17/12/1963,2635,2022,2032,2016,02
ANGELICA,,BUENO,PAEZ,DGO,SAN HOMERO LOS BAJOS,LOS BAJOS SUR,AVENIDA MESA,S/N,,76790,KOQJ644938MOAOHZH2,QCOYOZ02388920LOZL,19/12/1935,9839,2029,2039,2004,05
RUFINO,,GUTIERREZ,MELGAR,MIC,VIEJA AUSTRALIA,LOS BAJOS SUR,CERRADA MAURICIO,S/N,,16342,ZHJQ989885HWSGFMK5,OKPYAI01030895WSNT,15/05/1953,0433,2024,2034,2005,02
MARISELA,,CASARES,GONZALEZ,COA,VIEJA TIMOR-LESTE,LOS ALTOS SUR,BOULEVARD SUR TAFOYA,S/N,,93176,FDWZ635565MCWUWHF0,XWZCXB96383523NBDA,27/04/1975,1977,2021,2031,2005,05
SONIA,,DUARTE,OTERO,DGO,SAN CARMEN LOS ALTOS,LOS ALTOS SUR,PRIVADA SUR ANGUIANO MZ 44 LT,89,DEPTO J,57099,JZTE373278HZWYOAX2,SIFHOI091781526EG2,11/12/1936,6503,2028,2038,2019,08
OFELIA,,MAESTAS,MARIN,SON,SAN JERONIMO DE LA MONTANA,DE LA MONTANA NORTE,CALLEJON AYALA,3081,,17623,KMII579044MRAULEV9,TMZSBI38017320XA01,26/10/1973,2823,2020,2030,2014,10
JUANA,,RAMOS,BUSTOS,TLAX,SAN ALDONZA LOS BAJOS,LOS BAJOS SUR,CALZADA SUR ARANDA,1715-71,,16894,UROE331288HCWEKW35,AAASUY69424826CIDY,28/09/2002,1555,2022,2032,2005,09
SOFIA,,PICHARDO,GURULE,BC,NUEVA REPUBLICA DE COREA,LOS BAJOS SUR,PASAJE RUIZ,S/N,,28659,DBSO384061HSDVDJW9,WOKFZO0326484350N8,25/11/1974,6929,2025,2035,2000,06
ARCELIA,,SERRANO,PEDRAZA,YUC,SAN LUIS LOS BAJOS,LOS ALTOS SUR,BOULEVARD COLIMA,516,,43207,DOOG147192HHOJSHQ2,GQMVVW20981339TWO8,02/12/1953,5235,2026,2036,2002,02
BEATRIZ,,SERNA,ZAMORA,OAX,VIEJA CHILE,DE LA MONTANA SUR,BOULEVARD NEGRON MZ 97 LT,13,PISO 11,92948,QFMM086692MCKQKTF8,YAPFMY86859353XHBM,21/01/1972,9771,2023,2033,2006,09
SESSA,,DE LA ROSA,ZAMBRANO,Q.ROO,VIEJA UCRANIA,LOS ALTOS NORTE,DIAGONAL LLAMAS,S/N,F,54100,AHQC061825MHMNIFY4,DIOUTR18845682AGNY,11/08/1957,0826,2026,2036,2019,09
VICENTE,,HERRERA,COLUNGA,SLP,SAN MAGDALENA DE LA MONTANA,LOS BAJOS SUR,ANDADOR SUR MAESTAS,4823-39,PISO 2,20661,GWHP764866MUVGGRA1,GIHHBK94072317IQBY,29/04/1943,3981,2025,2035,2019,07
JOSE,EMILIO,MEJIA,DE JESUS,SLP,SAN VICENTE DE LA MONTANA,LOS BAJOS NORTE,AMPLIACION DOMINGUEZ,4033E,,35279,UKST098060MIQQIH11,AUWLUU00450730P0DA,05/02/1956,9203,2023,2033,2016,07
ABELARDO,,GUERRA,RODRIGUEZ,AGS,SAN VICTORIA DE LA MONTANA,DE LA MONTANA NORTE,CIRCUITO PABON MZ 45 LT,16,,96384,BDAC859135MEDNWE48,IQIZAH85032227K55I,25/10/1977,1434,2022,2032,2012,12
PORFIRIO,,RUBIO,ZAYAS,DGO,SAN YURIDIA LOS BAJOS,LOS ALTOS SUR,CALZADA OAXACA,6816-80,,82250,DSXB983368MEXBLWR3,BBNNKE20614338LBUS,10/10/1995,4596,2026,2036,2004,01
NOEMI,,MONTEZ,ORTIZ,OAX,SAN ESTEFANIA LOS ALTOS,LOS BAJOS SUR,CALLE MEXICO,S/N,C,55077,DXGB903180MCXQKSS2,IHBXGE57342701HVXN,12/07/1973,0110,2024,2034,2022,10
ESTEBAN,,LIRA,CORTEZ,Q.ROO,SAN SOFIA LOS BAJOS,LOS ALTOS SUR,AMPLIACION SUR AMAYA KM,66.5,,10502,HFPJ427033MJQDJTX9,DBOPUY297281663EOX,21/04/1988,1905,2022,2032,2011,02
SANTIAGO,,QUINONEZ,RANGEL,AGS,VIEJA CAMBOYA,DE LA MONTANA NORTE,CALZADA KENYA KM,94.1,,53212,MXAY114082HZHKOR75,CZPKVN78443305X66R,23/10/1998,3072,2024,2034,2021,09
OCTAVIO,,CEJA,VANEGAS,SIN,SAN CESAR DE LA MONTANA,LOS ALTOS SUR,CIRCUNVALACION SONORA,5915D,,21156,NVDD497033HXVXTOS2,RNZQBO09950076V0Y2,01/12/1998,5350,2024,2034,2009,11
KARINA,,MANZANARES,LUGO,QRO,VIEJA SINGAPUR,DE LA MONTANA SUR,CONTINUACION ALVARADO,9176-47,,77174,AZKG806226HEGHTK40,JSJIZY806894562UDB,02/11/1984,4772,2029,2039,2004,03
ALVARO,,MONTES,APONTE,BCS,SAN IVAN LOS BAJOS,LOS BAJOS SUR,ANDADOR NORTE VANEGAS MZ 25 LT,21,PISO 12,55185,NAJZ167780MDDLAEL8,DIDLTA65864924Z1SL,06/04/1959,0664,2021,2031,2005,04
